movie,year,mins,genres,directors,actors
guardians-of-the-galaxy,2014,121.0,"['adventure', 'action', 'science-fiction']",['james-gunn'],"['chris-pratt', 'zoe-saldana', 'dave-bautista', 'vin-diesel', 'bradley-cooper', 'lee-pace', 'michael-rooker-1', 'karen-gillan-1', 'djimon-hounsou', 'c-3', 'glenn-close', 'benicio-del-toro', 'laura-haddock-1', 'sean-gunn', 'peter-serafinowicz', 'christopher-fairbank', 'krystian-godlewski', 'wyatt-oleff', 'gregg-henry', 'janis-ahern', 'solomon-mousley', 'lindsay-morton', 'robert-firth', 'melia-kreiling', 'tom-proctor', 'nick-holmes-1', 'max-wrottesley', 'stan-lee', 'nicole-alexandra-shipley', 'sharif-atkins', 'brendan-fehr', 'tomas-arana', 'mikaela-hoover', 'emmett-scanlan', 'dominic-grant', 'spencer-wilding', 'alison-lintott', 'alexis-rodney', 'nathan-fillion', 'keeley-forsyth', 'frank-gilhooley', 'alexis-denisof-1', 'enzo-cilenti', 'richard-katz', 'ene-frost', 'ronan-summers', 'ophelia-lovibond', 'laura-ortiz', 'marama-corlett', 'rosie-jones', 'abidemi-sobande', 'ekaterina-zalitko', 'emily-redding', 'stephen-blackehart', 'jennifer-moylan-taylor', 'bruce-mackinnon-1', 'ralph-ineson', 'rob-zombie', 'naomi-ryan', 'john-brotherton-1', 'graham-shiels', 'james-gunn', 'douglas-robson', 'rachel-cullen', 'isabella-poynton', 'imogen-poynton', 'david-yarovesky', 'miriam-lucia', 'josh-brolin', 'lloyd-kaufman', 'tyler-bates', 'seth-green', 'jozef-aoki', 'erica-melargo']"
heaven-can-wait,1943,112.0,"['comedy', 'fantasy', 'romance', 'drama']",['ernst-lubitsch'],"['don-ameche', 'gene-tierney', 'charles-coburn', 'marjorie-main', 'laird-cregar', 'spring-byington', 'allyn-joslyn', 'eugene-pallette', 'signe-hasso', 'louis-calhern', 'helene-reynolds', 'aubrey-mather', 'tod-andrews', 'florence-bates', 'scotty-beckett', 'clara-blandick', 'leonard-carey', 'james-conaty', 'jack-deery', 'claire-du-brey', 'jay-eaton', 'james-flavin', 'bess-flowers', 'gary-gray', 'alfred-hall', 'grayce-hampton', 'marlene-mains', 'trudy-marshall', 'edwin-maxwell', 'michael-mclean-1', 'doris-merrick', 'harold-miller', 'dickie-moore', 'bert-moorhouse', 'clarence-muse', 'monty-ogrady', 'anne-oneal', 'gerald-pierce', 'nino-pipitone-jr', 'june-preston', 'maureen-roden-ryan', 'anita-sharp-bolster', 'gerald-oliver-smith']"
elviras-haunted-hills,2001,90.0,"['comedy', 'horror']",['sam-irvin-1'],"['cassandra-peterson', 'mary-jo-smith', 'richard-obrien-1', 'mary-scheer', 'scott-atkinson', 'heather-hopper', 'gabi-andronache', 'jerry-jackson-1', 'theodor-danetti', 'lucia-maier', 'constantin-cotimanis', 'mark-pierson', 'sam-irvin-1', 'rob-paulsen']"
jackpot-2024,2024,107.0,"['comedy', 'action']",['paul-feig'],"['awkwafina', 'john-cena', 'simu-liu', 'ayden-mayeri', 'donald-watkins', 'sam-asghari', 'mgk', 'seann-william-scott', 'dolly-de-leon', 'michael-hitchcock', 'becky-ann-baker', 'leslie-david-baker-1', 'murray-hill', 'adam-ray', 'taylor-ortega', 'holmes-1', 'krystal-smith-1', 'bobby-lee', 'monique-ganderton', 'steven-shelby', 'john-santiago', 'imani-love', 'marian-green', 'rosanna-scotto', 'sharon-reed-2', 'david-conk', 'josh-diogo', 'conor-mccullagh', 'shannon-mayers', 'brian-ashton-smith', 'rabon-hutcherson', 'sean-sullivan-1', 'jordan-salmon', 'theresa-sutera', 'lisa-catara', 'mathew-seiden', 'cassidy-alexandra-kahler', 'vanessa-cater', 'holly-dowell', 'stella-reimer', 'chris-romrell', 'matt-laborde', 'jewelianna-ramos-ortiz', 'kawui-joa', 'nate-hitpas', 'flaco-reyes', 'troy-butler', 'ivan-john-1', 'sebastien-soudais', 'isabelle-fretheim', 'nadia-lorencz', 'delmar-reyna', 'cc-ice', 'eddie-davenport', 'christopher-chabriel', 'nathaniel-diggs-mcallister', 'ruben-maldonado', 'chris-schmidt-jr', 'jaime-channing', 'richard-nunez-1', 'casey-hendershot', 'cole-eckert', 'mona-mcallen']"
sylvia-scarlett,1935,95.0,"['romance', 'drama', 'comedy']",['george-cukor'],"['katharine-hepburn', 'cary-grant', 'brian-aherne', 'edmund-gwenn', 'natalie-paley', 'dennie-moore', 'lennox-pawle', 'harrold-cheevers', 'frank-moran']"
shattered-glass,2003,94.0,"['history', 'drama']",['billy-ray'],"['hayden-christensen', 'peter-sarsgaard', 'chloe-sevigny', 'rosario-dawson', 'melanie-lynskey', 'hank-azaria', 'steve-zahn', 'mark-blum-1', 'simone-elise-girard', 'chad-donella', 'jamie-elman', 'luke-kirby', 'cas-anvar', 'linda-e-smith', 'ted-kotcheff', 'owen-roth', 'bill-rowat', 'michele-scarabelli', 'terry-simpson', 'howard-rosenstein', 'louis-philippe-dandenault', 'morgan-kelly', 'christian-tessier', 'james-berlingieri', 'brett-watson', 'andrew-airlie', 'russell-yuen', 'pierre-leblanc', 'pauline-little', 'kim-taschereau', 'phillip-cole', 'mark-camacho', 'ian-blouin', 'lynne-adams', 'caroline-goodall-1', 'brittany-drisdelle', 'isabelle-champeau']"
the-cameramans-revenge,1912,13.0,"['comedy', 'animation']",['wladyslaw-starewicz'],[]
the-edge-of-seventeen,2016,105.0,"['drama', 'comedy']",['kelly-fremon-craig'],"['hailee-steinfeld', 'woody-harrelson', 'haley-lu-richardson', 'blake-jenner', 'kyra-sedgwick', 'hayden-szeto', 'alexander-calvert', 'eric-keenleyside', 'nesta-cooper', 'meredith-monroe', 'katie-stuart', 'lina-renna', 'christian-michael-cooper', 'ava-grace-cooper', 'laine-macneil', 'jena-skodje', 'daniel-bacon', 'kavandeep-hayre', 'lyle-reginald', 'chris-shields', 'christian-lagasse', 'lauren-k-robek', 'laura-ward']"
bad-things,2023,83.0,"['horror', 'thriller']",['stewart-thorndike-1'],"['gayle-rankin', 'hari-nef', 'annabelle-dexter-jones', 'rad-pereira', 'jared-abrahamson', 'molly-ringwald', 'ariella-josephine', 'austin-jones-8', 'patrick-klein', 'dana-slosar']"
leon-morin-priest,1961,118.0,"['romance', 'drama']",['jean-pierre-melville'],"['emmanuelle-riva-1', 'jean-paul-belmondo', 'irene-tunc', 'nicole-mirel', 'gisele-grimm', 'marco-behar', 'marc-eyraud', 'monique-hennessy', 'edith-loria', 'monique-bertho', 'nina-gregoire', 'simone-vannier', 'lucienne-marchand', 'nelly-pitorre', 'ernest-varial', 'chantal-gozzi', 'patricia-gozzi', 'marielle-gozzi', 'cedric-grant-1', 'george-lambert-1', 'gerard-buhr', 'howard-vernon', 'renee-liques', 'volker-schlondorff', 'claude-achard', 'adeline-aucoc', 'maurice-auzel', 'andre-badin', 'madeleine-ganne', 'louis-sainteve']"
